gene_symbol,TCGA-BH-A1FC,TCGA-AC-A2FM,TCGA-BH-A0DO,TCGA-E2-A1BC,TCGA-BH-A0BJ,TCGA-E2-A1LH,TCGA-BH-A1FB,TCGA-BH-A18M,TCGA-BH-A0BM,TCGA-E2-A153,TCGA-B6-A0RH,TCGA-BH-A1FU,TCGA-AR-A0TX,TCGA-A1-A0SE,TCGA-OL-A5D6,TCGA-E2-A1IK,TCGA-AN-A0FT,TCGA-A2-A3KD,TCGA-A2-A0EO,TCGA-A2-A04P
MT-CO3,35598.7999,16341.7189,24733.1389,45971.5318,19778.8018,18179.2317,22970.7004,23216.1814,28840.6741,26432.9642,19663.8695,19413.2237,19597.8059,19328.6617,27124.0631,15835.5261,60766.8115,14236.6448,39517.905,59211.062
MT-CO2,18290.6995,12920.2231,15503.0986,29818.6471,13238.2631,13485.1217,15503.9317,18216.0684,24139.1954,24804.5697,18442.9594,22410.7136,14155.0005,14039.6248,22948.7323,13152.425,59418.8676,11973.9505,22488.8,56876.4356
MT-CO1,20533.8251,10294.5355,19410.9927,36602.0614,14979.2567,17447.62,20207.1492,19864.2026,25514.4544,23478.8,18632.4589,22473.362,20290.9676,21562.0407,28533.6553,10273.541,46177.7242,20509.1265,29568.8035,71243.7395
MT-ND4,21707.3476,10335.9379,16846.6543,44861.6827,12424.1224,17243.4205,18080.0054,20127.8387,28986.3878,27953.7575,13010.185,18900.6398,16125.0744,14060.6608,20748.9619,6733.2791,39803.3478,11889.203,20655.7943,47858.788
MT-ATP6,13442.7171,7634.6574,9985.0614,28089.3995,7837.8405,10606.1244,12050.0321,12675.0602,18165.3594,16740.0256,6789.8321,12576.1493,11268.8099,12948.4901,10395.3444,5426.7373,48833.7458,8390.019,17824.109,34604.4681
MT-CYB,15267.9968,8182.81,10958.9376,30374.1201,8857.4444,11822.5975,13528.1859,15445.4853,18485.3806,18205.1538,8163.8148,10841.7839,9086.7491,12542.3758,11666.4899,5530.0694,31480.9147,8766.2307,17070.8615,19091.7561
MT-ND1,16894.9254,7740.0917,13745.258,27645.1381,9783.2853,12915.4795,14142.3173,17454.4053,20307.1734,13350.6536,10198.3746,7045.3296,19802.3833,9677.2711,13231.8202,4112.7,23680.5014,10301.8745,15623.9342,21590.0873
MT-ND3,14757.7588,13054.9341,11402.8481,38439.4398,8550.436,10940.5945,14265.0882,10567.4926,21507.1152,10738.9972,6268.8974,11417.1065,12340.1566,5870.9378,9319.9718,9855.7633,42217.2694,6375.805,22158.2995,19566.9293
MT-ND2,14634.1946,7878.1018,9422.8663,24047.7279,7883.7928,10630.094,11322.1426,13893.6613,16529.3007,12784.1301,9610.3459,7183.3989,11568.5001,8053.5035,11849.9487,3637.2949,28026.4785,6640.7767,14740.438,28903.4917
TMSB10,6076.0331,8710.7088,2907.1993,3050.0832,5142.2486,3300.5685,3135.0172,4185.0159,4427.9565,4450.7419,15345.4787,10444.1108,13833.7893,10154.5801,12261.5453,4234.5269,5889.9452,3939.3282,5949.388,17522.4947
FTL,9633.5482,11174.9765,4576.7074,8044.1953,4238.8248,7303.4026,4312.7443,7211.4853,3860.6562,10956.5011,10244.0974,4667.104,9571.2388,3681.4729,8511.7327,4558.4775,6197.2724,4084.4742,5787.8342,4331.499
MT-ND6,12364.5581,7182.064,7439.5469,14176.6497,2879.5362,8803.8754,8335.1596,8756.9669,9368.0755,3953.1986,3514.2574,4362.6417,5259.3846,4945.6012,3122.2427,2688.4065,3936.1952,6155.3276,5841.569,12087.2528
MT-ND4L,5107.7297,1026.6278,5974.7848,14589.096,4765.1213,4608.9127,6642.9483,5795.9313,9307.2561,7665.6778,3850.3626,7649.7527,4446.3658,4422.3896,4741.4275,1225.231,8844.5296,4758.3047,7826.8725,10614.2424
MT-ND5,6926.9963,1821.032,7109.309,9525.3472,3136.7526,6439.494,6408.2251,7692.3401,7365.6201,4305.6344,3381.0814,4020.9634,4179.7693,4785.3482,2794.6215,1247.4243,3996.7151,6246.2577,5647.426,7653.6664
ACTG1,3303.1291,6018.7695,3632.195,1113.5403,4223.4885,3847.4297,3893.7733,4657.2181,4486.2396,3565.452,7838.2282,5457.9654,4106.525,4936.7617,4246.947,3098.1339,2199.7854,3894.8208,5445.4043,3391.4891
RPS12,4522.801,8162.5323,8590.0857,6129.008,6727.9028,5892.188,4946.2058,3608.7603,7059.0884,3521.6663,3273.9832,5830.6108,2966.0594,3906.4719,3906.7179,5172.8479,1050.4081,3517.5375,4228.5301,2162.1986
ACTB,3767.0051,5460.8254,3006.396,1115.9054,3308.8748,3224.2183,3186.2553,3709.754,4160.8215,3394.0592,6384.2611,6004.1166,3303.846,4077.1234,5066.248,2213.2011,4567.6664,3640.6917,4425.7018,4829.9669
MT-ATP8,3859.8016,609.5721,2158.1625,14218.9977,4851.9407,1965.8682,5039.5951,3483.0136,6710.5944,4569.9039,2289.5707,3946.8968,3095.3914,2774.4115,2189.2086,853.3535,5957.8517,2571.6839,4611.249,6343.0981
RPS18,2731.4653,3903.2436,5595.0167,3492.8037,5730.4958,4733.1362,3645.7781,2410.6782,5899.2406,2343.1894,4959.5785,4639.1377,2130.2328,5443.1489,1386.4216,3317.357,2826.3459,2004.6519,2988.6609,3329.5774
RPS11,2558.7663,5380.4193,4279.1506,3016.3745,4464.6909,3579.189,3118.4692,2723.4998,4417.7437,2192.5808,3457.5206,2871.8241,1920.2674,3535.1717,2261.6307,2859.4242,2626.6489,1884.7895,2925.8715,2963.6702
